Incident,Reported,Occurred,Type,Location,Summary,Status
2023-2073,09/20/23 07:10 AM,09/20/23 07:10 AM,Harassment,MacDougal Street and West 3rd Street,A contractor reported a harassment.,Open
2023-2069,09/21/23 05:45 PM,09/21/23 04:15 PM - 09/21/23 05:30 PM,Motor Vehicle Theft,Tisch Bike Racks,A student reported an e-scooter theft.,Open
2023-2068,09/21/23 01:45 PM,09/21/23 01:10 PM,Motor Vehicle Theft,Tisch bike racks,A student reported an electric scooter theft.,Open
2023-2053,09/20/23 06:29 PM,09/20/23 05:20 PM,Criminal Trespass,Lipton Hall,A Campus Safety Officer reported a trespass.,Open
2023-2052,09/20/23 06:42 PM,09/19/23 03:00 PM - 09/19/23 03:45 PM,Larceny,Bobst Library,A student reported missing personal property.,Open
2023-2050,09/20/23 05:09 PM,09/20/23 03:20 PM - 09/20/23 04:50 PM,Larceny,Rogers Hall,A student reported a bike theft.,Open
2023-2048,09/20/23 05:05 PM,09/16/23 11:10 PM - 09/16/23 11:20 PM,Criminal Mischief,Bobst Library,A student reported a criminal mischief.,Open
2023-2043,09/20/23,01/11/23,Larceny,Meyer Hall,"A student reported missing lab materials. Dates should read: 1/11/2023, 5/3/2023, 7/11/2023, 8/15, 2023, 8/23/2023.",Open
2023-2043,09/20/23,10/26/21,Criminal Mischief / Larceny,Meyer Hall,A student reported missing equipment and criminal mischief.,Open
2023-2043,09/20/23,07/11/23,Larceny,Meyer Hall,"A student reported missing equipment. The dates should read 7/11/2023, 3/7/2023, 2/4/2023, 9/27/2022, 10/24/2022, 11/7/2022",Open
2023-2043,09/20/23,09/11/23 - 09/15/23,Criminal Mischief,Meyer Hall,A student reported criminal mischief.,Open
02544-2023,09/22/23 03:04 AM,09/21/23 11:18 PM,Liquor Law Violation,Third Avenue North,Two RA's reported a liquor law violation.,Closed
2023-2040,09/20/23 11:54 AM,09/20/23 10:45 AM - 09/20/23 11:45 AM,Larceny,Bobst Library,A student reported missing personal property.,Open
C.0008081,09/19/23,09/12/23 - 09/19/23,Stalking,Silver Center,A student reported a stalking.,Closed/Referred to Title IX
2023-2035,09/19/23 09:49 PM,09/19/23 04:50 PM - 09/19/23 09:40 PM,Larceny,Tisch bike racks,A student reported a bike theft.,Open
2023-2032,09/19/23 08:40 PM,09/19/23 05:00 AM - 09/19/23 08:25 PM,Larceny,Tisch bike racks,A student reported a bike theft.,Open
2023-2031,09/19/23 07:06 PM,09/19/23 07:06 PM,Criminal Trespass,Warren Weaver Hall,A Campus Safety Officer reported an attempted trespass.,Open
2023-2029,09/19/23 04:30 PM,09/19/23 04:30 PM,Harassment / Disorderly Conduct,1 Metrotech (exterior),Two students reported a harassment. Camera review on 9.28 further established disorderly conduct.,Closed
2023-2028,09/19/23 05:20 PM,09/19/23 04:30 PM,Harassment / Disorderly Conduct,1 Metrotech (exterior),Two students reported a harassment. Camera review on 9.28 further established disorderly conduct.,Closed
2023-2067,09/21/23 01:30 PM,09/21/23 04:10 AM,Aggravated Harassment / Falsely Reporting an Incident,561 LaGuardia Place,A Campus Safety staff member reported an falsely reported incident and aggravated harassment.,Closed/Referred to NYPD
2023-2027,09/19/23 04:48 PM,09/16/23 10:21 AM - 09/18/23 05:00 PM,Found Property (reclassified from Larceny),D'Agostino Hall,A student reported missing packages. Items were recovered on 10.5.23,Closed
2023-2021,09/19/23 10:23 AM,09/19/23 10:23 AM,Public Lewdness,561 La Guardia (exterior) and Starbucks (exterior),A Campus Safety Officer reported a public lewdness.,Open
2023-2018,09/19/23 09:15 AM,09/18/23 - 09/19/23,Larceny,721 Broadway,A staff member reported a theft.,Open
2023-2013,09/18/23 05:30 PM,09/18/23 05:30 PM,Criminal Trespass,Tisch Hall,A Campus Safety Officer reported an attempted trespass.,Open
2023-2009,09/18/23 03:49 PM,09/18/23 03:49 PM,Disorderly Conduct,Vanderbilt Hall,A Campus Safety Officer reported a disorderly conduct.,Open
2023-1996,09/18/23 02:46 AM,Spring 2023,Rape,Lipton Hall,A student reported a rape.,Open
2023-1980,09/17/23 10:50 PM,09/17/23 05:00 PM - 09/17/23 10:30 PM,Larceny,Bobst Library (exterior),A contractor reported a theft from a car.,Open
02459-2023,09/17/23 04:35 AM,09/16/23 10:04 PM,Fondling,Washington Square Park,Students reported an attempted fondling.,Closed/Referred to Office of Student Conduct & Community Standards
02475-2023,09/16/23 11:02 PM,09/16/23 11:02 PM,Liquor Law Violation,Greenwich Hall,A student reported a liquor law violation.,Closed
2023-1976,09/16/23 08:25 PM,09/16/23 08:25 PM,Criminal Trespass,Wilf Hall,A student reported a trespass.,Open
02444-2023,09/16/23 07:05 PM,09/16/23 06:02 PM,Liquor Law Violation,Greenwich Hall,A student reported a potential liquor law violation.,Closed
2023-1973,09/16/23 06:30 AM,09/15/23 - 09/16/23,Criminal Mischief,25 West 4th Street,A contractor reported damaged equipment.,Open
02435-2023,09/15/23 11:42 PM,09/15/23 10:10 PM,Drug Law Violation,Third Avenue North,Two RA's reported a drug law violation.,Closed
02432-2023,09/15/23 10:57 PM,09/15/23 10:25 PM,Drug Law Violation,Third Avenue North,An RA reported a drug law violation.,Closed
02423-2023,09/15/23 10:44 AM,09/13/23 05:00 PM,Harassment,University Hall (exterior),A student reported a harassment.,Closed
2023-1965,09/15/23 04:37 PM,09/15/23 04:37 PM,Criminal Trespass,383 Lafayette Hall,A Campus Safety Officer reported an attempted trespass.,Open
2023-1963,09/15/23 08:17 AM,09/08/23 02:40 PM - 09/08/23 03:15 PM,Larceny,Weinstein Hall,A contractor reported missing personal property.,Open
2023-1960,09/14/23 01:15 AM,09/14/23 01:05 AM,Harassment,University Hall,A student reported a harassment.,Open
2023-1957,09/14/23 09:25 PM,09/14/23 08:20 PM,Larceny,Paulson Center (exterior),A faculty member reported a bike theft.,Open
2023-1955,09/14/23 08:00 PM,09/14/23 03:00 PM - 09/14/23 03:21 PM,Larceny,Paulson Center (exterior),A student reported a bike theft.,Open
2023-1953,09/14/23 02:45 PM,09/14/23 02:45 PM,Simple Assault / Criminal Trespass,Lafayette Hall,A Campus Safety Officer reported a simple assault and attempted trespass.,Open
2023-1952,09/14/23 02:00 PM,09/14/23 01:30 PM,Simple Assault,404 Lafayette (exterior),A student reported an assault outside 404 Lafayette.,Open
2023-1951,09/14/23 03:10 PM,09/14/23 11:00 AM - 09/14/23 01:45 PM,Larceny,721 Broadway (exterior),A student reported a bike theft.,Open
2023-1947,09/14/23 11:00 AM,09/14/23 08:45 AM - 09/14/23 10:55 AM,Found Property (reclassified from Larceny),Weinstein Hall,A student reported missing personal property. The student found the property on 9/15/2023.,Closed
02391-2023,09/13/23 11:55 AM,01/29/23,Rape / Drug Law Violation / Aggravated Assault,Third North Hall,"A student reported a rape, aggravated assault and illegal drug use.",Closed/Referred to Title IX
02391-2023,09/13/23 11:55 AM,12/02/22,Unlawful Surveillance,Third North Hall,A student reported unlawful surveillance.,Closed/Referred to Title IX
02389-2023,09/13/23 11:16 AM,02/05/23,Unlawful Surveillance,Lafayette Hall,A student reported unlawful surveillance.,Closed/Referred to Title IX
2023-1943,09/14/23 09:00 AM,09/13/23 06:10 PM - 09/13/23 10:00 PM,Larceny,Lipton Hall,A student reported missing personal property.,Open
2023-1942,09/13/23 11:09 PM,09/13/23 11:09 PM,Criminal Trespass,Fairchild Building,A CBS employee reported a trespass.,Open
2023-1935,09/13/23 05:38 PM,09/13/23 10:15 AM - 09/13/23 05:45 PM,Larceny,Rogers Hall (exterior),A student reported a bike theft.,Open
2023-1933,09/13/23 01:47 PM,09/13/23 01:00 PM,Larceny,Washington Square Park,A student reported a theft.,Open
2023-1931,09/13/23 12:46 PM,09/12/23 11:30 PM,Larceny,Third North Hall (exterior),A student reported a theft.,Open
2023-1925,09/12/23 07:26 PM,09/12/23 07:26 PM,Criminal Trepass,708 Broadway,A Campus Safety Officer reported a trespass.,Open
2023-1926,09/12/23 08:29 PM,09/12/23 02:00 PM,Motor Vehicle Theft,Paulson Center (exterior),A student reported an e-scooter theft.,Open
2023-1923,09/12/23 04:50 PM,09/12/23 04:50 PM,Criminal Trespass,708 Broadway,A Campus Safety Officer reported a trespass.,Open
2023-1920,09/12/23 02:06 PM,09/12/23 02:06 PM,Criminal Trespass,Tisch Hall,A Campus Safety Officer reported a trespass.,Open
2023-1915,09/12/23 07:48 AM,09/12/23 07:48 AM,Loitering,Bobst Library,A Campus Safety Officer reported a loitering.,Open
2023-1914,09/12/23 11:19 AM,09/12/23 10:30 AM - 09/12/23 10:47 AM,Found Property (reclassified from Larceny),Weinstein,A student reported missing personal property. On 9/13/2023 the student reported the property was found.,Closed
2023-1913,09/12/23 11:10 AM,09/12/23 11:10 AM,Harassment,Gould Plaza,A student reported a harassment.,Open
2023-1908,09/11/23 11:07 PM,09/11/23 10:00 AM - 09/11/23 10:54 PM,Larceny,Bobst Library (exterior),A visiting student reported a bike theft.,Open
2023-1907,09/11/23 08:56 PM,09/11/23 08:50 AM - 09/11/23 08:30 PM,Larceny,Tisch Bike Racks,A student reported a bike theft.,Open
2023-1905,09/11/23 08:30 PM,09/11/23 04:45 PM - 09/11/23 07:00 PM,Larceny,Paulson Center,A student reported missing personal property.,Open
2023-1903,09/11/23 04:49 PM,09/11/23 11:04 AM,Larceny,Rogers Hall,A student reported a missing package.,Open
2023-1901,09/11/23 02:35 PM,09/08/23 - 09/11/23,Larceny,Weinstein Hall (exterior),A student reported a bike theft.,Open
2023-1900,09/11/23 01:45 PM,09/11/23 01:45 PM,Criminal Trespass,Fairchild Building,A Campus Safety Officer reported a trespass.,Open
02349-2023,09/10/23 04:05 PM,09/10/23 04:00 PM,Harassment,Brittany Hall,A student reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
02348-2023,09/10/23 08:50 PM,09/01/23 - 09/08/23,Harassment,Brittany Hall,An RA reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
02339-2023,09/10/23 01:05 PM,09/10/23 12:37 PM,Larceny,Third North Hall,A student reported a theft.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1895,09/10/23 11:20 PM,09/10/23,Larceny/Extortion,Palladium Hall,A student reported an attempted extortion.,Open
2023-1893,09/10/23 04:50 PM,09/10/23 04:50 PM,Harassment,Brittany Hall,A student reported a harassment.,Open
2023-1890,09/10/23 01:17 PM,09/09/23 12:14 PM,Larceny,Founders Hall,A student reported a bike theft.,Open
2023-1889,09/10/23 11:52 AM,09/08/23 06:00 PM - 09/09/23 09:00 AM,Larceny,44 West 4th Street,A student reported missing personal property.,Open
2023-1886,09/09/23 09:15 PM,09/09/23 07:00 PM,Criminal Trespass,721 Broadway,A staff member reported a criminal trespass.,Open
2023-1879,09/09/23 10:20 AM,09/08/23 - 09/09/23,Criminal Mischief,Paulson Center (exterior),A Campus Safety Officer reported graffiti.,Open
2023-1876,09/09/23 12:40 AM,09/07/23,Harassment,Morton Williams - 130 Bleecker,A student reported a harassment.,Open
02365-2023,09/08/23 12:46 AM,09/07/23 07:20 PM,Criminal Trespass,Palladium Hall,A student reported a trespass.,Closed/Referred to Office of Student Conduct & Community Standards
02326-2023,09/08/23 11:15 PM,09/08/23 11:15 PM,Liquor Law Violation,Brittany Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1868,09/08/23 04:25 PM,09/08/23 09:35 AM,Motor Vehicle Theft,4 Washington Square Village (exterior),A non-NYU affiliate reported a motorcycle theft.,Open
2023-1866,09/08/23 02:01 PM,09/08/23 02:01 PM,Larceny,726 Broadway,A Campus Safety Officer reported missing equipment.,Open
2023-1865,09/08/23 11:39 AM,09/07/23 07:30 AM - 09/07/23 04:30 PM,Larceny,Second Street Hall,A student reported missing personal property.,Open
2023-1862,09/08/23 06:40 AM,09/08/23 05:50 AM,Unlawful Surveillance,Lafayette Hall,A student reported an unlawful surveillance.,Open
2023-1861,09/08/23 01:14 AM,09/08/23 01:14 AM,Unlawful Surveillance,Brittany Hall,A student reported unlawful surveillance.,Open
02320-2023,09/07/23 04:31 PM,09/02/23 07:00 PM,Drug Law Violation,Alumni Hall,An RA reported illegal drug possession.,Closed/Referred to Office of Student Conduct & Community Standards
02319-2023,09/07/23 11:11 PM,09/07/23 11:11 PM,Liquor Law Violations,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1855,09/07/23 06:06 PM,09/07/23 06:00 PM,Harassment / Disorderly Conduct,MetroTech Commons,A student reported a harassment. Camera review on 9.28 further established disorderly conduct.,Closed
2023-1851,09/07/23 10:00 AM,07/24/23,Larceny,Student Residence - exterior,A student reported a bike theft.,Open
2023-1849,09/07/23 07:15 AM,09/06/23 - 09/07/23,Criminal Mischief,Skirball Theater,A contractor reported a criminal mischief.,Open
2023-1847,09/06/23 08:22 PM,09/06/23 04:50 PM - 09/06/23 07:25 PM,Motor Vehicle Theft,726 Broadway - exterior,A student reported an electric scooter theft.,Open
02270-2023,09/05/23 07:14 AM,09/05/23 06:00 AM,Larceny,Academic Center,A student reported a bike theft.,Closed/Referred to Office of Student Conduct & Community Standards
02274-2023,09/03/23 06:30 PM,08/27/23,Larceny,Lipton Hall,A student reported missing personal property.,Closed/Referred to Office of Student Conduct & Community Standards
02246-2023,09/03/23 11:35 PM,09/03/23 11:35 PM,Drug Law Violation,Clark Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02244-2023,09/03/23 09:21 PM,09/03/23 09:21 PM,Drug Law Violation,Third North Hall,An RA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
02237-2023,09/03/23 03:51 PM,09/03/23 03:30 PM,Larceny,Lafayette Hall,A student reported missing personal property.,Closed/Referred to Office of Student Conduct & Community Standards
02227-2023,09/02/23 01:25 AM,09/02/23 01:25 AM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02187-2023,08/30/23 10:59 PM,08/30/23 02:00 AM,Rape,Third North Hall,A student reported a rape.,Closed/Referred to Office of Student Conduct & Community Standards
02206-2023,08/31/23 09:20 PM,08/31/23 09:20 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02186-2023,08/30/23 09:55 PM,08/30/23 09:55 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02184-2023,08/30/23 09:15 PM,08/30/23 09:15 PM,Liquor Law Violation,Weinstein Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02181-2023,08/30/23 09:50 PM,08/30/23 09:50 PM,Liquor Law Violation,Palladium Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02179-2023,08/30/23 10:11 PM,08/30/23 10:11 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02157-2023,08/29/23 12:41 AM,08/27/23 08:30 PM - 08/27/23 10:00 PM,Criminal Trespass,Weinstein Hall,Two students reported a trespass.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1846,08/29/23 06:30 PM,08/29/23 06:30 PM,Criminal Trespass,Lipton Hall,A Campus Safety Officer reported a trespass.,Open
2023-1845,09/06/23 07:25 PM,09/06/23 06:56 PM,Criminal Trespass,721 Broadway,A student reported a criminal trespass.,Open
2023-1844,09/06/23 07:58 PM,09/06/23 06:08 PM - 09/06/23 07:26 PM,Larceny,404 Lafayette Street,A student reported missing personal property.,Open
2023-1841,09/06/23 04:50 PM,09/06/23 04:50 PM,Criminal Mischief,Weissman Building,A Campus Safety staff member reported a criminal mischief.,Open
2023-1839,09/06/23 12:20 PM,09/05/23 06:25 PM - 09/06/23 11:30 AM,Larceny,Dental Center,A staff member reported missing personal property.,Open
2023-1833,09/05/23 08:32 PM,09/05/23 - 09/05/23,Harassment,Washington Square Park,A student reported a harassment.,Open
2023-1828,09/05/23 05:13 PM,09/05/23 - 09/05/23,Aggravated Assault,Silver Center - Exterior,A student reported an aggravated assault.,Open
2023-1825,09/05/23 03:41 PM,09/01/23 - 09/01/23,Harassment,Vanderbilt Hall - Exterior,A staff member reported a harassment.,Open
2023-1824,09/05/23 02:00 PM,09/05/23 01:30 PM - 09/05/23 02:00 PM,Harassment,Bobst Library - Exterior,A NYU affiliate reported a harassment.,Open
2023-1823,09/05/23 02:32 PM,09/05/23 09:00 AM - 09/05/23 12:30 PM,Larceny,238 Thompson street,A student reported missing personal property.,Open
2023-1814,09/04/23 10:19 AM,09/03/23 - 09/04/23,Harassment,Palladium Hall,A student reported a harassment.,Open
2023-1800,09/02/23 01:08 AM,08/27/23 - 09/02/23,Larceny,Othmer Hall,A student reported missing personal property.,Open
2023-1799,09/02/23 03:27 AM,09/02/23 - 09/02/23,Larceny,561 LaGuardia - Exterior,A non-NYU member reported missing personal property.,Open
2023-1797,09/02/23 01:37 AM,08/27/23 12:00 AM - 09/02/23 01:10 AM,Larceny,Othmer Hall,A student reported missing personal property.,Open
2023-1793,09/01/23 02:01 PM,08/31/23 01:30 PM - 09/01/23 11:00 AM,Larceny,20 Cooper Sq,A student reported missing personal property.,Open
2023-1791,09/01/23 09:30 AM,09/01/23 09:30 AM - 09/01/23 09:38 AM,Criminal Trespass,3 Washington Sq Village,A Campus Safety Officer reported a criminal trespass.,Closed
2023-1788,09/01/23 12:36 AM,09/01/23 12:32 AM - 09/01/23 01:00 AM,Liquor Law Violation,Weinstein Hall,A Campus Safety Officer reported underage alcohol possession.,Open
02187-2023,08/30/23 10:59 PM,08/30/23 02:00 AM,Rape,Third North Hall,A student reported a rape.,Closed/Referred to Office of Student Conduct & Community Standards
02206-2023,08/31/23 09:20 PM,08/31/23 09:20 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02186-2023,08/30/23 09:55 PM,08/30/23 09:55 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02184-2023,08/30/23 09:15 PM,08/30/23 09:15 PM,Liquor Law Violation,Weinstein Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02181-2023,08/30/23 09:50 PM,08/30/23 09:50 PM,Liquor Law Violation,Palladium Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02179-2023,08/30/23 10:11 PM,08/30/23 10:11 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02157-2023,08/29/23 12:41 AM,08/27/23 08:30 PM - 08/27/23 10:00 PM,Criminal Trespass,Weinstein Hall,Two students reported a trespass.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1846,08/29/23 06:30 PM,08/29/23 06:30 PM,Criminal Trespass,Lipton Hall,A Campus Safety Officer reported a trespass.,Open
2023-1845,09/06/23 07:25 PM,09/06/23 06:56 PM,Criminal Trespass,721 Broadway,A student reported a criminal trespass.,Open
2023-1844,09/06/23 07:58 PM,09/06/23 06:08 PM - 09/06/23 07:26 PM,Larceny,404 Lafayette Street,A student reported missing personal property.,Open
2023-1841,09/06/23 04:50 PM,09/06/23 04:50 PM,Criminal Mischief,Weissman Building,A Campus Safety staff member reported a criminal mischief.,Open
2023-1839,09/06/23 12:20 PM,09/05/23 06:25 PM - 09/06/23 11:30 AM,Larceny,Dental Center,A staff member reported missing personal property.,Open
2023-1833,09/05/23 08:32 PM,09/05/23 12:00 AM - 09/05/23 12:00 AM,Harassment,Washington Square Park,A student reported a harassment.,Open
2023-1828,09/05/23 05:13 PM,09/05/23 12:00 AM - 09/05/23 12:00 AM,Aggravated Assault,Silver Center - Exterior,A student reported an aggravated assault.,Open
2023-1825,09/05/23 03:41 PM,09/01/23 12:00 AM - 09/01/23 12:00 AM,Harassment,Vanderbilt Hall - Exterior,A staff member reported a harassment.,Open
2023-1824,09/05/23 02:00 PM,09/05/23 01:30 PM - 09/05/23 02:00 PM,Harassment,Bobst Library - Exterior,A NYU affiliate reported a harassment.,Open
2023-1823,09/05/23 02:32 PM,09/05/23 09:00 AM - 09/05/23 12:30 PM,Larceny,238 Thompson street,A student reported missing personal property.,Open
2023-1814,09/04/23 10:19 AM,09/03/23 12:00 AM - 09/04/23 12:00 AM,Harassment,Palladium Hall,A student reported a harassment.,Open
2023-1800,09/02/23 01:08 AM,08/27/23 12:00 AM - 09/02/23 12:00 AM,Larceny,Othmer Hall,A student reported missing personal property.,Open
2023-1799,09/02/23 03:27 AM,09/02/23 12:00 AM - 09/02/23 12:00 AM,Larceny,561 LaGuardia - Exterior,A non-NYU member reported missing personal property.,Open
2023-1797,09/02/23 01:37 AM,08/27/23 12:00 AM - 09/02/23 01:10 AM,Larceny,Othmer Hall,A student reported missing personal property.,Open
2023-1793,09/01/23 02:01 PM,08/31/23 01:30 PM - 09/01/23 11:00 AM,Larceny,20 Cooper Sq,A student reported missing personal property.,Open
2023-1791,09/01/23 09:30 AM,09/01/23 09:30 AM - 09/01/23 09:38 AM,Criminal Trespass,3 Washington Sq Village,A Campus Safety Officer reported a criminal trespass.,Closed
2023-1788,09/01/23 12:36 AM,09/01/23 12:32 AM - 09/01/23 01:00 AM,Liquor Law Violation,Weinstein Hall,A Campus Safety Officer reported underage alcohol possession.,Open
2023-1779,08/30/23 03:41 PM,08/30/23 03:20 PM - 08/30/23 03:47 PM,Criminal Trespass,721 Broadway,A Campus Safety Officer reported a criminal trespass.,Open
2023-1778,08/30/23 12:38 PM,08/30/23 11:30 AM - 08/30/23 12:30 PM,Larceny,Bronfman Center - Exterior,A student reported a bike theft outside of the Bronfman Center.,Open
2023-1769,08/29/23 06:52 PM,08/29/23 12:00 AM - 08/29/23 12:00 AM,Sexual Abuse,1 University Pl - Exterior,A student reported an incident of sexual abuse.,Open
2023-1767,08/29/23 05:20 PM,08/29/23 04:00 PM - 08/29/23 05:00 PM,Larceny,Kimmel Center,A student report missing personal property.,Open
2023-1762,08/29/23 12:15 PM,08/29/23 12:00 AM - 08/29/23 12:00 AM,Criminal Mischief,Carlyle Court Hall,A Campus Safety Officer reported graffiti.,Open
2023-1760,08/29/23 09:08 AM,08/29/23 09:08 AM - 08/29/23 09:20 AM,Loitering,383 Lafayette st,A Campus Safety Officer reported loitering.,Open
02154-2023,08/28/23 11:20 PM,08/28/23 11:20 PM,Liquor Law Violation,Brittany Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02153-2023,08/28/23 09:10 PM,09/28/23 09:10 PM,Liquor Law Violation,Palladium Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1758,08/28/23 10:29 PM,08/28/23 12:00 AM - 08/28/23 12:00 AM,Extortion,Third North Hall,A student reported an attempted extortion.,Open
2023-1755,08/28/23 05:39 PM,08/27/23 08:06 PM - 08/27/23 08:07 PM,Disorderly Conduct,Third North Hall,A Campus Safety Officer reported a disorderly conduct.,Open
2023-1752,08/28/23 11:28 AM,08/26/23 08:51 PM - 08/27/23 07:00 PM,Larceny,Lipton Hall,A student reported missing personal property.,Open
2023-1750,08/28/23 08:23 AM,08/28/23 12:00 AM - 08/28/23 12:00 AM,Criminal Mischief,Furman Hall,A Campus Safety Officer reported an act of criminal mischief.,Open
2023-1749,08/27/23 06:30 PM,08/12/23 01:00 PM - 08/27/23 06:30 PM,Larceny,Othmer Hall,A student report missing personal belongings.,Open
2023-1747,08/27/23 05:36 PM,08/27/23 05:30 PM - 08/27/23 06:01 PM,Larceny,Paulson Center,A Campus Safety Officer reported an attempted theft.,Open
2023-1739,08/26/23 03:43 PM,08/26/23 03:43 PM - 08/26/23 04:21 PM,Aggravated Assault,Carlyle Court,A student reported an aggravated assault.,Open
2023-1738,08/26/23 12:37 PM,08/26/23 12:00 AM - 08/26/23 12:00 AM,Aggravated Assault,West 3rd and Mercer St,A Campus Safety member reported an aggravated assault.,Open
2023-1734,08/26/23 01:45 AM,08/26/23 12:00 AM - 08/26/23 12:00 AM,Criminal Mischief,1 Schwartz Plaza,A Campus Safety Officer reported graffiti.,Open
2023-1733,08/25/23 12:00 AM,08/25/23 12:00 AM - 08/25/23 12:00 AM,Larceny,Othmer Hall,A student reported missing personal property.,Open
2023-1732,08/25/23 09:37 PM,08/12/23 12:00 AM - 08/25/23 12:00 AM,Larceny,Othmer Hall,A student reported missing personal property.,Open
2023-1723,08/24/23 11:57 PM,08/24/23 11:57 PM - 08/24/23 12:00 AM,Criminal Mischief,3-5 Washington Place,A Campus Safety Officer reported graffiti.,Open
VSU023,08/25/23 04:40 PM,08/23/23 09:30 PM - 08/23/23 11:00 PM,Motor Vehicle Theft,21 Waverly Pl,The NYPD reported a motor vehicle theft.,Closed
2023-1717,08/23/23 03:24 PM,08/23/23 03:24 PM - 08/23/23 03:45 PM,Motor Vehicle Theft,5 Metrotech,A student reported an electric bike theft.,Open
2023-1706,08/19/23 07:49 PM,08/19/23 07:36 PM - 08/19/23 07:45 PM,Larceny,Lipton Hall,A Campus Safety Officer reported a theft.,Open
2023-1704,08/19/23 01:46 AM,08/19/23 01:46 AM - 08/19/23 02:20 AM,Larceny,400 Broome Street,A student reported missing personal items.,Open
2023-1698,08/15/23 05:25 PM,08/08/23 10:00 AM,Larceny,1 Washington Square North,A faculty member reported a bike theft.,Open
2023-1694,08/16/23 02:10 AM,08/15/23 11:28 PM,Criminal Trespass,Paulson Center,A Campus Safety Officer reported a trespass.,Open
2023-1684,08/15/23 01:11 PM,08/11/23 - 08/15/23,Larceny,Kimmel Center,A contractor reported missing equipment.,Open
2023-1668,08/13/23 03:42 PM,08/13/23 03:42 PM,Criminal Trespass,Paulson Center,A Campus Safety Officer reported an attempted trespass.,Open
2023-1659,08/11/23 02:20 PM,08/11/23 02:20 PM,Criminal Trespass,Bobst Library,A Campus Safety Officer reported a trespass.,Open
2023-1656,08/11/23 11:20 AM,08/11/23 11:20 AM,Criminal Trespass,19 West 4th Street,A Campus Safety Officer reported an attempted trepass.,Open
2023-1652,08/10/23 05:30 PM,08/07/23 - 08/08/23,Larceny,370 Jay Street,A student reported missing personal property.,Open
2023-1649,08/10/23 10:11 AM,05/04/23 12:00 PM,Robbery,Washington Square Park,A student reported a robbery.,Open
2023-1646,08/09/23 02:00 PM,08/09/23 02:00 PM,Criminal Mischief,Silver Center,A Campus Safety employee reported graffiti.,Open
2023-1645,08/09/23 11:35 AM,08/09/23 11:30 AM,Larceny,Schwartz Plaza,A student reported a theft of personal property.,Open
VSU022,08/08/23 04:34 PM,07/24/23 11:50 AM,Leaving the scene of an accident with injuries,First Avenue and East 25th Street,The NYPD reported a hit and run.,Closed/Referred to NYPD
2023-1641,08/08/23 08:30 PM,08/07/23 04:30 PM - 08/08/23 08:00 PM,Larceny,Tisch Bike Racks,A student reported a bike theft.,Open
2023-1639,08/08/23 05:30 PM,08/08/23 01:30 PM,Larceny,Washington Square Park,A staff member reported an attempted theft.,Open
2023-1631,08/07/23 08:20 AM,08/04/23 02:00 PM - 08/07/23 08:20 AM,Burglary,West 3rd Street (between Mercer Street and LaGuardia Place),A contractor reported a burglary at a trailer.,Open
2023-1629,08/06/23 10:30 PM,08/04/23 03:00 AM - 08/04/23 02:00 PM,Harassment,Bobst Library / LaGuardia Place and West 3rd Street,An alumnus reported a harassment.,Open
2023-1628,08/06/23 01:05 PM,08/06/23 01:05 PM,Public Lewdness,Vanderbilt Hall - exterior,A Campus Safety Officer reported a public lewdness.,Open
2023-1624,08/04/23 09:56 PM,08/02/23 11:42 PM - 08/04/23 10:00 PM,Larceny,Gramercy Green Hall,A student reported missing personal property.,Open
